Year,CrimeType,Count
2016,Burglaries,4691
2016,Cheating,7909
2016,Hurt Cases,15521
2016,Kidnapping/Abduction,793
2016,Murders,951
2016,Ordinary Thefts,12006
2016,Other IPC,58992
2016,Rape Cases,1278
2016,Rioting,488
2016,Robberies,655
2017,Burglaries,4710
2017,Cheating,9518
2017,Hurt Cases,16437
2017,Kidnapping/Abduction,1046
2017,Murders,739
2017,Ordinary Thefts,11977
2017,Other IPC,68089
2017,Rape Cases,1528
2017,Rioting,559
2017,Robberies,790
2018,Burglaries,4230
2018,Cheating,9242
2018,Hurt Cases,16558
2018,Kidnapping/Abduction,1266
2018,Murders,716
2018,Ordinary Thefts,11343
2018,Other IPC,63834
2018,Rape Cases,1694
2018,Rioting,633
2018,Robberies,569
